style_color,country_code,snapshot_date,model_number,product_name,color_name,gender_segment,category,subcategory,currency,price_local,sale_price_local,discount_pct,in_stock,availability_level
FZ1307-432,FI,2026-03-19,FZ1307,FC Barcelona 2025/26 Stadium Fourth,Gym Blue/Gym Blue/Salsa Red/Opti Yellow,BOYS|GIRLS,APPAREL,Older Kids' Nike Dri-FIT Football Replica Shirt,EUR,79.99,,0.0,True,HIGH
FZ1304-432,FI,2026-03-19,FZ1304,FC Barcelona 2025/26 Stadium Fourth,Gym Blue/Gym Blue/Salsa Red/Opti Yellow,MEN,APPAREL,Men's Nike Dri-FIT Football Replica Shirt,EUR,99.99,,0.0,True,HIGH
FJ0238-728,FI,2026-03-19,FJ0238,Golden State Warriors Essential,Amarillo,MEN,APPAREL,Men's Nike NBA T-Shirt,EUR,34.99,,0.0,True,LOW
DN2005-401,FI,2026-03-19,DN2005,Golden State Warriors Icon Edition,Rush Blue,MEN,APPAREL,Men's Nike Dri-FIT NBA Swingman Jersey,EUR,104.99,,0.0,True,HIGH
HM3196-438,FI,2026-03-19,HM3196,Inter Milan 2025/26 Match Third,Thunder Blue/Safety Orange/Safety Orange,MEN,APPAREL,Men's Nike Dri-FIT ADV Total 90 Football Authentic Shirt,EUR,149.99,,0.0,True,HIGH
HJ4591-439,FI,2026-03-19,HJ4591,Inter Milan 2025/26 Stadium Home,Lyon Blue/Black/Chlorine Blue,MEN,APPAREL,Men's Nike Dri-FIT Football Replica Shirt,EUR,99.99,,0.0,True,LOW
IB3536-413,FI,2026-03-19,IB3536,Inter Milan 2026 Stadium SE,Hyper Blue/Black/Safety Orange,BOYS|GIRLS,APPAREL,Older Kids' Nike ACG Dri-FIT Football Replica Shirt,EUR,79.99,,0.0,True,HIGH
IQ0547-045,FI,2026-03-19,IQ0547,Jordan,Off-Noir,MEN,APPAREL,Men's Graphic T-Shirt,EUR,39.99,,0.0,True,OOS
DQ8424-109,FI,2026-03-19,DQ8424,Jordan 1 Mid,Summit White/Infrared 23/Neutral Grey/Black,BOYS|GIRLS,FOOTWEAR,Younger Kids' Shoes,EUR,84.99,,0.0,True,HIGH
HQ9020-133,FI,2026-03-19,HQ9020,Jordan Brooklyn,Sail/Sail,MEN,APPAREL,Men’s Realtree T-Shirt,EUR,44.99,,0.0,True,OOS
IM5104-417,FI,2026-03-19,IM5104,Jordan Brooklyn,Old Royal/Black/Yellow Pulse/Yellow Pulse,MEN,APPAREL,Men's 12.5cm (approx.) Woven Shorts,EUR,44.99,,0.0,True,LOW
HV0469-133,FI,2026-03-19,HV0469,Jordan Brooklyn Fleece,Sail/Sail,WOMEN,APPAREL,Women's Realtree Mod Crop Full-Zip Hoodie,EUR,79.99,,0.0,True,LOW
IF1822-010,FI,2026-03-19,IF1822,Jordan Flight,Black/White,MEN,APPAREL,Men's Graphic Workwear Jacket,EUR,149.99,,0.0,True,OOS
IQ5238-010,FI,2026-03-19,IQ5238,Jordan Flight,Black/Sail,MEN,APPAREL,Men's Woven Trousers,EUR,119.99,,0.0,True,LOW
IO3045-237,FI,2026-03-19,IO3045,Jordan Flight,Baroque Brown/British Khaki/Baroque Brown,WOMEN,APPAREL,Women's Reversible Gilet,EUR,149.99,,0.0,True,LOW
IO9531-010,FI,2026-03-19,IO9531,Jordan Flight Club,Black,WOMEN,APPAREL,Women's Fleece Quarter-Zip Sweatshirt,EUR,109.99,,0.0,True,LOW
DM0979-009,FI,2026-03-19,DM0979,Jordan Hydro VI Retro,Black/Infrared 23,MEN,FOOTWEAR,Slides,EUR,59.99,,0.0,True,HIGH
HJ0627-010,FI,2026-03-19,HJ0627,Jordan Rise,Black/White,MEN|WOMEN,APPAREL,Structured Curved-Bill Hat,EUR,29.99,,0.0,True,HIGH
HQ9768-010,FI,2026-03-19,HQ9768,Jordan Sport,Black/White,WOMEN,APPAREL,Women's Dri-FIT High-Waisted 15cm (approx.) Shorts,EUR,49.99,,0.0,True,LOW
II7579-016,FI,2026-03-19,II7579,Jordan Tiempo Streetgato SE,Phantom/Infrared 23/Sail,MEN|WOMEN,FOOTWEAR,Indoor Court Low-Top Football Shoes,EUR,99.99,,0.0,True,LOW
IO0311-010,FI,2026-03-19,IO0311,Kobe All-Star Weekend,Black/Sonic Yellow/Light Photo Blue,BOYS|GIRLS,APPAREL,Older Kids' Fleece Basketball Hoodie,EUR,74.99,,0.0,True,LOW
II7126-010,FI,2026-03-19,II7126,LeBron,Black,MEN,APPAREL,Men's Nike NBA T-Shirt,EUR,49.99,,0.0,True,OOS
IM2170-636,FI,2026-03-19,IM2170,Luka,Varsity Red/Black,MEN,APPAREL,Men's T-Shirt,EUR,39.99,,0.0,True,OOS
IF1707-078,FI,2026-03-19,IF1707,Nike ACG,Grey Fog/Light Lemon Twist/Summit White,BOYS|GIRLS,APPAREL,Older Kids' UV Long-Sleeve Top,EUR,49.99,,0.0,True,HIGH
IO9395-628,FI,2026-03-19,IO9395,Nike Academy 'Vini Jr.',Sunset Pulse/Old Royal/Old Royal,MEN|WOMEN,EQUIPMENT,Football,EUR,29.99,,0.0,True,OOS
IQ3408-286,FI,2026-03-19,IQ3408,Nike Air Force 1 '07 Premium,Linen/Moon Particle/Mink Brown/Burgundy Crush,MEN,FOOTWEAR,Men's Shoes,EUR,129.99,,0.0,True,LOW
HF0659-900,FI,2026-03-19,HF0659,Nike Air Force 1 Low By You,Multi-Colour/Multi-Colour/Multi-Colour,MEN,FOOTWEAR,Custom Men's Shoes,EUR,149.99,,0.0,True,HIGH
HF0660-900,FI,2026-03-19,HF0660,Nike Air Force 1 Mid By You,Multi-Colour/Multi-Colour/Multi-Colour,MEN,FOOTWEAR,Custom Men's Shoes,EUR,159.99,,0.0,True,HIGH
HF0662-900,FI,2026-03-19,HF0662,Nike Air Force 1 Mid By You,Multi-Colour/Multi-Colour/Multi-Colour,WOMEN,FOOTWEAR,Custom Women's Shoes,EUR,159.99,,0.0,True,HIGH
HQ3714-900,FI,2026-03-19,HQ3714,Nike Air Max 1 By You,Multi-Colour/Multi-Colour/Multi-Colour,MEN,FOOTWEAR,Custom Men's Shoes,EUR,169.99,,0.0,True,HIGH
HQ3713-900,FI,2026-03-19,HQ3713,Nike Air Max 1 By You,Multi-Colour/Multi-Colour/Multi-Colour,WOMEN,FOOTWEAR,Custom Women's Shoes,EUR,169.99,,0.0,True,HIGH
IQ8027-900,FI,2026-03-19,IQ8027,Nike Air Max 270 By You,Multi-Colour/Multi-Colour,MEN,FOOTWEAR,Men's shoes,EUR,179.99,,0.0,True,HIGH
IQ9029-001,FI,2026-03-19,IQ9029,Nike Air Max 90,Black/Anthracite/Light Charcoal/Neon Yellow,BOYS|GIRLS,FOOTWEAR,Baby & Toddler Shoes,EUR,69.99,,0.0,True,LOW
IQ9026-001,FI,2026-03-19,IQ9026,Nike Air Max 90,Black/Anthracite/Light Charcoal/Neon Yellow,BOYS|GIRLS,FOOTWEAR,Younger Kids' Shoes,EUR,84.99,,0.0,True,LOW
IQ7583-001,FI,2026-03-19,IQ7583,Nike Air Max 90,Black/Anthracite/Light Charcoal/Neon Yellow,BOYS|GIRLS,FOOTWEAR,Older Kids' Shoes,EUR,119.99,,0.0,True,LOW
IB6606-600,FI,2026-03-19,IB6606,"Nike Air Max 90 Premium 'Valentine’s Day""",University Red/Black/University Red,MEN,FOOTWEAR,Men's shoes,EUR,159.99,,0.0,True,OOS
DM1182-991,FI,2026-03-19,DM1182,Nike Air Max 95 By You,Multi-Colour/Multi-Colour/Multi-Colour/Multi-Colour,MEN,FOOTWEAR,Custom Men's Shoe,EUR,209.99,,0.0,True,HIGH
FN6743-900,FI,2026-03-19,FN6743,Nike Air Max 97 By You,Multi-Colour/Multi-Colour/Multi-Colour,MEN,FOOTWEAR,Custom Men's Shoes,EUR,209.99,,0.0,True,HIGH
HF0665-900,FI,2026-03-19,HF0665,Nike Air Max Plus By You,Multi-Colour/Multi-Colour/Multi-Colour,MEN|WOMEN,FOOTWEAR,Custom Shoes,EUR,209.99,,0.0,True,HIGH
IM8066-999,FI,2026-03-19,IM8066,Nike Alphafly 3,Multi-Colour/Volt/White/Black,MEN,FOOTWEAR,Men's Road Racing Shoes,EUR,319.99,,0.0,True,LOW
DV9436-010,FI,2026-03-19,DV9436,Nike Brasilia,Black/Black/White,BOYS|GIRLS,EQUIPMENT,Kids' Backpack (18L),EUR,37.99,,0.0,True,HIGH
